,Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
420,M,Rice,5.1,5.1,West Ham,88.0,2.918,86.0,0.0,82.0,2.055,83.0,2.646,10.0,0.276,79.0,2.599,79.0,2.413,77,2.662
421,M,Soucek,5.7,5.7,West Ham,90.0,3.767,89.0,0.0,87.0,2.458,86.0,3.407,10.0,0.357,83.0,3.433,82.0,2.984,81,3.514
422,M,Fornals,6.0,6.0,West Ham,56.0,2.862,58.0,0.0,58.0,2.022,55.0,2.663,7.0,0.251,58.0,2.895,55.0,2.437,61,3.106
423,D,Diop,4.3,4.3,West Ham,45.0,1.921,36.0,0.0,41.0,0.735,42.0,1.667,5.0,0.131,43.0,1.799,42.0,1.638,47,2.178
424,D,Johnson,4.0,4.0,West Ham,6.0,0.263,13.0,0.0,17.0,0.44,18.0,0.776,2.0,0.04,17.0,0.759,19.0,0.802,15,0.718
425,M,Moutinho,4.9,4.9,Wolves,40.0,2.802,34.7,0.0,71.0,2.715,35.7,2.588,62.0,2.516,34.1,2.616,34.1,2.511,65,1.938
426,G,Patrício,5.0,5.0,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
427,D,Boly,4.9,4.9,Wolves,1.0,0.0829999999999999,5.0,0.0,11.0,0.469,8.85,0.6609999999999999,20.0,0.863,11.55,0.982,11.55,0.901,23,0.583
428,D,Coady,4.7,4.7,Wolves,88.0,5.5600000000000005,46.8,0.0,90.0,3.725,45.1,3.18,80.0,3.191,44.0,3.521,44.55,3.2060000000000004,79,1.702
429,F,Jiménez,7.4,7.4,Wolves,168.0,8.007,90.0,0.0,87.0,4.736,86.0,4.384,77.0,4.588,62.0,3.587,82.0,4.274,74,2.724
430,D,Saïss,5.0,5.0,Wolves,89.0,6.113,46.8,0.0,90.0,4.136,45.1,3.476,82.0,3.698,44.0,3.935,42.9,3.432,79,1.761
431,D,Marçal,4.2,4.2,Wolves,16.0,1.252,9.65,0.0,12.0,0.543,8.25,0.658,17.0,0.776,10.45,0.927,9.35,0.764,18,0.541
432,D,Jonny,4.5,4.5,Wolves,8.5,0.618,14.55,0.0,34.0,1.578,18.55,1.501,29.0,1.35,16.5,1.508,17.05,1.425,36,0.969
433,M,Dendoncker,4.7,4.7,Wolves,67.5,4.729,32.35,0.0,59.0,2.317,32.55,2.384,64.0,2.6,33.55,2.586,29.7,2.221,58,1.758
434,M,Traoré,5.6,5.6,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
435,M,Neves,5.3,5.3,Wolves,82.0,5.386,42.75,0.0,81.0,2.979,39.55,2.735,71.0,2.75,37.95,2.805,39.6,2.7750000000000004,70,1.97
436,D,Semedo,4.8,4.8,Wolves,87.0,6.17,45.7,0.0,90.0,4.192,44.5,3.494,77.0,3.521,42.35,3.859,44.0,3.553,77,1.824
437,M,Podence,5.5,5.5,Wolves,64.0,5.925000000000001,23.75,0.0,48.0,2.458,23.75,2.298,43.0,2.376,21.45,2.2350000000000003,25.3,2.457,44,1.71
438,D,Kilman,4.5,4.5,Wolves,89.0,5.7170000000000005,46.7,0.0,92.0,3.87,46.15,3.311,80.0,3.285,44.55,3.641,44.0,3.257,78,1.677
439,M,Gibbs-White,4.5,4.5,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
440,M,Neto,6.4,6.4,Wolves,0.0,0.0,1.25,0.0,13.0,0.689,10.5,1.068,30.0,1.746,15.4,1.689,16.5,1.759,28,1.184
441,M,Otasowie,4.5,4.5,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
442,D,Hoever,3.9,3.9,Wolves,3.0,0.2259999999999999,3.25,0.0,7.0,0.302,3.9,0.296,11.0,0.48,5.5,0.457,4.4,0.342,11,0.347
443,G,Söndergaard,3.9,3.9,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
444,F,Fabio Silva,5.6,5.6,Wolves,5.5,0.59,3.9,0.0,7.0,0.416,3.35,0.364,6.0,0.366,4.95,0.5830000000000001,3.85,0.434,10,0.477
445,D,Mosquera,4.4,4.4,Wolves,0.0,0.0,0.5,0.0,1.0,0.047,1.05,0.087,1.0,0.048,1.1,0.096,2.2,0.174,3,0.096
446,F,Welbeck,5.9,5.9,Brighton,23.0,1.304,27.0,0.0,34.0,1.733,17.76,1.573,2.0,0.053,16.65,1.824,22.755,1.909,34,1.533
447,G,Gunn,4.0,4.0,Norwich,83.0,2.97,54.0,0.0,11.09,0.97,1.06,0.079,0.0,0.0,2.18,0.165,2.18,0.191,3,0.108
448,M,Rashica,5.2,5.2,Norwich,69.0,2.255,64.0,0.0,32.46,3.012,32.93,2.8190000000000004,6.0,0.202,32.7,2.6380000000000003,31.61,3.146,61,2.244
449,F,Dennis,6.1,6.1,Watford,76.5,6.077,41.75,0.0,79.0,2.931,39.55,2.996,17.0,0.731,38.5,2.407,37.95,3.3960000000000004,70,2.99
450,D,Collins,4.3,4.3,Burnley,1.5,0.12,3.6666666666666665,0.0,6.55,0.175,10.21,0.332,4.0,0.116,3.253333333333334,0.209,4.88,0.498,12,0.311
451,G,Ruddy,4.3,4.3,Wolves,0.0,0.0,0.0,0.0,1.0,0.045,0.5,0.042,1.0,0.044,0.55,0.0499999999999999,0.0,0.0,3,0.111
452,M,Fernandinho,4.8,4.8,Man City,7.0,0.324,9.0,0.0,13.0,0.569,11.0,0.485,0.0,0.0,15.0,0.687,15.0,0.613,14,0.6
453,D,Pollock,4.0,4.0,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
454,F,Daka,7.2,7.2,Leicester,72.0,3.248,62.0,0.0,14.3175,3.419,12.8875,2.315,44.0,2.55,17.30666666666667,2.3960000000000004,16.91333333333333,2.861,40,2.231
455,D,Gibson,4.4,4.4,Norwich,89.0,0.879,86.0,0.0,42.245,3.132,43.26,2.089,9.0,0.173,45.235,2.285,43.6,3.257,79,1.333
456,D,Giannoulis,4.4,4.4,Norwich,2.0,0.05,4.0,0.0,3.105,0.256,3.105,0.21,0.0,0.0,4.36,0.284,3.815,0.313,8,0.228
457,M,Soumaré,4.8,4.8,Leicester,36.0,1.334,39.0,0.0,10.7875,1.616,11.11,1.47,40.0,1.524,15.733333333333334,1.531,14.160000000000002,1.541,40,1.435
458,M,Mata,4.7,4.7,Man Utd,4.0,0.205,3.0,0.0,2.0,0.085,2.0,0.099,0.0,0.0,3.0,0.161,3.0,0.152,4,0.222
459,D,Perraud,4.8,4.8,Southampton,77.0,3.296,70.0,0.0,38.57,2.5820000000000003,73.0,3.623,35.5,1.465,38.295,2.652,37.74,2.127,64,2.125
460,M,Trincão,5.6,5.6,Wolves,44.0,4.234,18.05,0.0,34.0,1.786,18.05,1.787,28.0,1.586,17.05,1.7879999999999998,16.5,1.683,30,1.269
461,M,Mwepu,5.9,5.9,Brighton,10.0,0.498,30.0,0.0,29.0,1.243,15.93,1.238,2.0,0.045,17.205,1.603,18.315,1.388,36,1.405
462,D,Firpo,4.7,4.7,Leeds,27.0,1.518,16.0,0.0,17.55,1.1920000000000002,33.0,1.65,29.0,1.108,17.05,1.425,18.15,1.514,34,1.0
463,M,Olise,5.4,5.4,Crystal Palace,52.0,4.591,52.0,0.0,47.0,1.996,46.0,1.726,17.849999999999998,0.738,47.0,2.037,54.0,2.304,48,2.122
464,D,Fernández,4.3,4.3,Newcastle,0.0,0.0,0.0,0.0,1.3299999999999998,0.124,8.0,0.186,1.4,0.032,3.253333333333334,0.259,2.44,0.249,7,0.249
465,D,Tavares,4.3,4.3,Arsenal,2.5,0.248,0.0,0.0,7.0,0.338,6.0,0.286,7.0,0.299,2.065,0.327,2.95,0.527,8,0.346
466,M,Etebo,4.3,4.3,Watford,16.5,1.404,13.6,0.0,24.0,0.947,14.2,1.081,5.0,0.146,15.95,1.063,14.85,1.198,24,1.032
467,F,King,5.9,5.8,Watford,85.0,6.891,44.1,0.0,87.0,3.338,43.45,3.414,18.0,0.815,41.25,2.665,41.8,3.909,74,3.338
468,F,Mebude,4.5,4.5,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
469,D,Ait Nouri,4.4,4.4,Wolves,66.0,5.084,26.9,0.0,51.0,2.535,24.3,2.08,47.0,2.32,24.2,2.349,25.3,2.236,39,1.085
